name,price,year,mileage,engine,date_listed,day_listed,month_listed,year_listed,days_since_listed,link
 ,£3990,2026,92533,1.5,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955873?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£29990,2018,35128,3.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955869?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£1420,2013,74000,1.2,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955868?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£10995,2016,28129,1.2,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955865?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£4000,2012,86000,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955862?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£2395,2013,97225,1.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955861?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£14990,2009,78000,2.9,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955858?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£12995,2017,51870,1.7,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955854?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£2950,2009,83227,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955852?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£25000,2019,16000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955850?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£6995,2008,105000,2.5,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955848?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£5450,2015,59760,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955847?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
